                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.74217,                0.56376,                 1.0137,                0.79006,                0.70477,                0.81099,                0.61572,                0.72129,                0.56851,                0.98498,              0.0085843,              0.0085843,              0.0085843
                    145,                0.73437,                0.56399,                 1.0113,                0.79342,                0.70379,                0.81077,                0.61549,                0.72075,                0.56803,                0.98485,              0.0085744,              0.0085744,              0.0085744
                    146,                0.73931,                0.56564,                 1.0124,                 0.7983,                0.70281,                0.81115,                0.61472,                0.72087,                0.56805,                0.98497,              0.0085645,              0.0085645,              0.0085645
                    147,                0.73744,                0.56099,                 1.0118,                0.79896,                0.70099,                0.81076,                0.61497,                0.72129,                0.56815,                0.98537,              0.0085546,              0.0085546,              0.0085546
                    148,                0.73643,                  0.558,                 1.0094,                0.80138,                0.70187,                0.81068,                0.61462,                0.72165,                0.56852,                 0.9855,              0.0085447,              0.0085447,              0.0085447
                    149,                0.73437,                0.55852,                 1.0111,                0.80257,                0.69517,                 0.8107,                0.61419,                0.72209,                0.56838,                0.98553,              0.0085348,              0.0085348,              0.0085348
                    150,                0.73501,                0.55763,                   1.01,                0.80225,                0.69576,                0.81114,                0.61411,                0.72249,                0.56863,                0.98583,              0.0085249,              0.0085249,              0.0085249
                    151,                0.73164,                0.56183,                 1.0127,                0.80185,                0.69557,                0.81065,                0.61348,                0.72273,                0.56842,                0.98596,               0.008515,               0.008515,               0.008515
                    152,                0.73179,                0.55966,                 1.0089,                0.80209,                 0.6962,                 0.8105,                0.61426,                0.72254,                0.56793,                0.98621,              0.0085051,              0.0085051,              0.0085051
                    153,                0.73444,                0.56414,                 1.0096,                0.80364,                0.69431,                0.81081,                0.61422,                0.72253,                0.56748,                0.98616,              0.0084952,              0.0084952,              0.0084952
                    154,                0.73495,                0.56342,                 1.0111,                0.79171,                0.68502,                0.80999,                0.61412,                0.72253,                0.56674,                0.98635,              0.0084853,              0.0084853,              0.0084853
                    155,                 0.7343,                0.56087,                 1.0092,                0.75447,                0.71207,                0.81032,                0.61417,                0.72248,                0.56691,                0.98635,              0.0084754,              0.0084754,              0.0084754
